filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,0,"{""name"":""rect"",""x"":2934,""y"":2677,""width"":86,""height"":47}","{""attribute"":{""leaf_fall"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,1,"{""name"":""rect"",""x"":3114,""y"":2612,""width"":83,""height"":59}","{""attribute"":{""leaf_fall"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,2,"{""name"":""rect"",""x"":3238,""y"":2612,""width"":65,""height"":35}","{""attribute"":{""leaf_fall"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,3,"{""name"":""rect"",""x"":2712,""y"":2928,""width"":92,""height"":80}","{""attribute"":{""leaf_fall"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,4,"{""name"":""rect"",""x"":2148,""y"":2984,""width"":33,""height"":18}","{""attribute"":{""leaf_green"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,5,"{""name"":""rect"",""x"":2181,""y"":2780,""width"":56,""height"":27}","{""attribute"":{""leaf_green"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,6,"{""name"":""rect"",""x"":2331,""y"":2780,""width"":56,""height"":41}","{""attribute"":{""leaf_green"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,7,"{""name"":""rect"",""x"":1333,""y"":2943,""width"":59,""height"":38}","{""attribute"":{""leaf_green"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,8,"{""name"":""rect"",""x"":2222,""y"":2647,""width"":18,""height"":35}","{""attribute"":{""leaf_green"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,9,"{""name"":""rect"",""x"":1746,""y"":2763,""width"":65,""height"":24}","{""attribute"":{""leaf_green"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,10,"{""name"":""rect"",""x"":1315,""y"":3144,""width"":53,""height"":27}","{""attribute"":{""leaf_green"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,11,"{""name"":""rect"",""x"":2969,""y"":2550,""width"":71,""height"":50}","{""attribute"":{""leaf_fall"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,12,"{""name"":""rect"",""x"":4204,""y"":3028,""width"":139,""height"":68}","{""attribute"":{""leaf_fall"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,13,"{""name"":""rect"",""x"":3247,""y"":2946,""width"":80,""height"":38}","{""attribute"":{""leaf_sub"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,14,"{""name"":""rect"",""x"":2916,""y"":2825,""width"":89,""height"":33}","{""attribute"":{""leaf_sub"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,15,"{""name"":""rect"",""x"":2571,""y"":2621,""width"":151,""height"":27}","{""attribute"":{""leaf_fall"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,16,"{""name"":""rect"",""x"":3599,""y"":2621,""width"":80,""height"":148}","{""attribute"":{""leaf_fall"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,17,"{""name"":""rect"",""x"":1885,""y"":3123,""width"":100,""height"":53}","{""attribute"":{""leaf_sub"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,18,"{""name"":""rect"",""x"":1353,""y"":2263,""width"":77,""height"":47}","{""attribute"":{""leaf_fall"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,19,"{""name"":""rect"",""x"":3318,""y"":3091,""width"":103,""height"":35}","{""attribute"":{""leaf_sub"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,20,"{""name"":""rect"",""x"":2966,""y"":2928,""width"":92,""height"":86}","{""attribute"":{""leaf_sub"":true}}"
invert_Hbwtr_w1_20201001_120348.jpg,461442,"{""attribute"":{}}",22,21,"{""name"":""rect"",""x"":2349,""y"":2875,""width"":71,""height"":80}","{""attribute"":{""leaf_fall"":true}}"
invert_Hbwtr_w1_20201002_120347.jpg,520758,"{""attribute"":{}}",44,0,"{""name"":""rect"",""x"":2411,""y"":2470,""width"":85,""height"":91}","{""attribute"":{""leaf_fall"":true}}"
invert_Hbwtr_w1_20201002_120347.jpg,520758,"{""attribute"":{}}",44,1,"{""name"":""rect"",""x"":3152,""y"":2539,""width"":89,""height"":140}","{""attribute"":{""leaf_fall"":true}}"
invert_Hbwtr_w1_20201002_120347.jpg,520758,"{""attribute"":{}}",44,2,"{""name"":""rect"",""x"":2632,""y"":2478,""width"":63,""height"":120}","{""attribute"":{""leaf_fall"":true}}"
invert_Hbwtr_w1_20201002_120347.jpg,520758,"{""attribute"":{}}",44,3,"{""name"":""rect"",""x"":2446,""y"":2636,""width"":71,""height"":57}","{""attribute"":{""leaf_fall"":true}}"
